STRUCTURE_NUMBER_008,YEAR_BUILT_027,Material Used,DeckRating_of_Year_2007,DeckRating_of_Year_2008,DeckRating_of_Year_2009,DeckRating_of_Year_2010,DeckRating_of_Year_2011,DeckRating_of_Year_2012,DeckRating_of_Year_2013,DeckRating_of_Year_2014,DeckRating_of_Year_2015,DeckRating_of_Year_2016,DeckRating_of_Year_2017,DeckRating_of_Year_2018,DeckRating_of_Year_2019,DeckRating_of_Year_2020,DeckRating_of_Year_2021
176,1998,Steel,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6
177,2015,Steel,5,5,6,6,6,6,6,6,6,9,9,9,9,9,9
178,1973,Steel,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
179,2011,Steel,5,5,7,7,7,9,9,9,9,9,9,9,9,7,7
180,2004,Steel,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7
181,2011,Steel,5,5,6,6,6,9,9,9,9,9,9,9,9,9,9
182,2015,Steel,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9
183,1995,Steel,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6
184,1995,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
185,1995,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
190,2003,Steel,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7
191,2004,Steel,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7
192,2006,Steel,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7
193,2006,Steel,9,9,7,8,8,8,8,8,8,7,7,7,7,7,7
201,1967,Steel,5,5,5,5,5,5,5,5,5,5,9,9,8,8,8
202,1967,Steel,5,5,5,5,5,5,5,5,5,5,9,9,8,8,8
205,1971,Steel Continuous,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7
208,1974,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
209,1960,Steel,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
210,2004,Prestressed Concrete,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8
211,1962,Prestressed Concrete,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
212,1962,Prestressed Concrete,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7
213,1962,Prestressed Concrete,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7
214,1966,Steel Continuous,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7
