STRUCTURE_NUMBER_008,YEAR_BUILT_027,Material Used,DeckRating_of_Year_2007,DeckRating_of_Year_2008,DeckRating_of_Year_2009,DeckRating_of_Year_2010,DeckRating_of_Year_2011,DeckRating_of_Year_2012,DeckRating_of_Year_2013,DeckRating_of_Year_2014,DeckRating_of_Year_2015,DeckRating_of_Year_2016,DeckRating_of_Year_2017,DeckRating_of_Year_2018,DeckRating_of_Year_2019,DeckRating_of_Year_2020,DeckRating_of_Year_2021
206,1910,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
215,1962,Prestressed Concrete,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7
233,1967,Steel,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
234,1967,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
235,1967,Steel,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
237,1967,Steel,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
238,1967,Steel,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
239,1967,Steel,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7
242,1972,Steel,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
255,1970,Steel Continuous,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
259,1971,Steel,4,4,8,8,8,8,8,8,8,8,8,8,7,7,7
262,1969,Steel,4,4,8,8,8,8,8,8,7,7,7,7,7,7,7
266,1962,Wood or Timber,6,6,6,6,6,6,8,8,7,7,7,7,7,7,7
309,1948,Steel,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9
315,1934,Concrete,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
316,1970,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6
323,1959,Steel,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7
324,1959,Steel,5,5,5,5,5,5,7,7,6,6,6,6,5,5,5
342,1977,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
355,1957,Steel,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
356,1977,Wood or Timber,5,5,5,5,5,5,7,7,5,5,6,6,6,6,6
397,1910,Steel,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
432,1962,Steel Continuous,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6
485,1964,Wood or Timber,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6
517,1957,Steel,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8
518,1944,Steel,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4
556,1965,Steel,8,8,8,8,8,8,8,8,8,8,8,6,6,7,7
559,1961,Steel,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7
569,1957,Steel Continuous,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6
572,1957,Steel Continuous,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5
599,1967,Steel,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6
600,1979,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8
601,1979,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
643,1982,Steel,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6
644,1982,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
666,1959,Steel,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6
