STRUCTURE_NUMBER,YEAR_RECONSTRUCTED,YEAR_BUILT
206,2005,1910
215,1987,1962
233,2009,1967
234,1976,1967
235,2009,1967
237,1976,1967
238,2009,1967
239,1976,1967
242,2009,1972
255,1993,1970
259,2006,1971
262,2006,1969
266,1979,1962
309,2011,1948
315,1958,1934
316,1985,1970
323,1980,1959
324,1979,1959
342,1988,1977
355,2007,1957
356,1992,1977
397,1988,1910
432,2002,1962
485,1978,1964
517,1977,1957
518,1952,1944
556,1999,1965
559,1985,1961
569,1973,1957
572,1999,1957
599,2002,1967
600,2002,1979
601,2002,1979
643,1983,1982
644,1983,1982
666,1963,1959
673,1964,1954
694,2006,1973
788,1974,1935
805,1994,1980
836,2019,1971
861,2015,1969
867,1972,1937
948,2012,1936
949,1976,1938
976,2001,1967
1085,1966,1961
1121,1993,1965
1124,1993,1965
1159,1976,1945
1212,2013,1975
1243,2006,1974
1255,1992,1972
1256,1992,1972
1257,1992,1972
1258,1992,1972
1259,1992,1972
1260,1992,1972
1261,1992,1972
1268,1958,1939
1278,1995,1968
1282,1992,1972
1283,1992,1972
1284,1992,1972
1327,1994,1974
1332,1992,1972
1334,1992,1972
1335,1992,1972
1336,1992,1972
1337,1992,1972
1338,1992,1972
1354,1995,1985
1382,1979,1956
1385,1987,1978
1436,1992,1972
1437,1992,1972
1453,1979,1960
1461,1987,1985
1499,1982,1940
1820,2006,1986
1821,2006,1986
1835,1986,1980
1901,2006,1969
2095,2005,1988
4003,1951,1937
4004,1999,1979
4024,1980,1950
4031,1954,1938
1.0021E+14,2000,1997
1.0021E+14,2004,1974
1.0021E+14,2004,1980
1.0021E+14,2004,1980
1.0021E+14,2004,1982
1.0021E+14,2007,1978
1.0031E+14,2004,1993
1.0031E+14,2004,1995
1.0032E+14,2009,1982
1.0032E+14,2009,1982
1.0032E+14,2016,1982
1.0032E+14,1995,1994
1.0032E+14,2009,1985
1.0032E+14,2010,1982
1.0032E+14,2009,1982
1.0032E+14,1995,1994
1.0032E+14,2010,1994
1.0032E+14,2018,1994
1.0032E+14,2010,1994
1.0035E+14,1999,1985
1.0035E+14,1999,1982
1.0035E+14,1996,1985
1.0051E+14,2004,1985
1.0054E+14,1998,1980
1.0054E+14,1992,1991
1.0054E+14,1998,1980
1.0054E+14,2007,1978
1.0054E+14,1992,1984
1.0054E+14,2007,1987
1.0054E+14,2007,1986
1.00554E+14,2005,2004
1.00554E+14,2005,2004
1.00554E+14,2006,2005
1.00554E+14,2006,2005
1.00554E+14,2006,2005
